"user_id","gender","married","has_children","birthdate","age","age_group","sign_up_date","signup_month","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","customer_segment","user_id","total_flights","total_hotels","avg_nights_stayed","avg_rooms_booked","total_return_flights","no_hotel_trips","total_night_rooms","avg_trip_duration_days","user_id","total_trips","active_years","customer_type"
"572554","F","false","false","1970-03-04","54","Senior","2023-02-04","2023-02-01 00:00:00+00","usa","norfolk","NGU","36.938","-76.289","Suburban","572554","6","6","3.3333333333333333","1.1666666666666667","6","3","23","3.0000000000000000","572554","8","1","Business Traveler"
"290123","F","true","false","1983-04-08","41","Middle-Aged","2022-08-18","2022-08-01 00:00:00+00","usa","houston","HOU","29.645","-95.279","Urban","290123","7","6","2.1666666666666667","1.6666666666666667","6","3","23","2.6666666666666667","290123","7","1","Business Traveler"
"476104","F","false","true","1974-01-04","51","Senior","2022-12-18","2022-12-01 00:00:00+00","usa","san jose","SJC","37.362","-121.929","Urban","476104","6","7","2.1428571428571429","1.1428571428571429","6","1","24","2.1666666666666667","476104","7","1","Business Traveler"
"529224","F","true","false","1969-06-04","55","Senior","2023-01-14","2023-01-01 00:00:00+00","usa","new york","LGA","40.777","-73.872","Urban","529224","6","5","2.8000000000000000","1.2000000000000000","6","3","21","2.5000000000000000","529224","7","1","Business Traveler"
"438189","F","true","false","1987-10-07","37","Middle-Aged","2022-11-28","2022-11-01 00:00:00+00","usa","fort worth","FTW","32.82","-97.362","Urban","438189","6","5","2.0000000000000000","1.2000000000000000","6","4","10","3.0000000000000000","438189","6","1","Business Traveler"
"471077","F","true","false","1967-03-28","57","Senior","2022-12-15","2022-12-01 00:00:00+00","usa","louisville","LOU","38.228","-85.664","Urban","471077","6","5","1.00000000000000000000","1.00000000000000000000","6","3","5","2.0000000000000000","471077","6","1","Business Traveler"
"473712","F","false","false","1978-07-15","46","Middle-Aged","2022-12-17","2022-12-01 00:00:00+00","usa","chicago","ORD","41.979","-87.904","Urban","473712","5","5","2.6000000000000000","1.00000000000000000000","5","3","13","3.0000000000000000","473712","6","1","Business Traveler"
"475130","F","true","true","1977-12-06","47","Middle-Aged","2022-12-17","2022-12-01 00:00:00+00","usa","milwaukee","MKE","42.947","-87.896","Urban","475130","6","5","1.2000000000000000","1.8000000000000000","6","3","10","2.8333333333333333","475130","6","1","Business Traveler"
"498665","F","false","false","1987-09-13","37","Middle-Aged","2022-12-29","2022-12-01 00:00:00+00","canada","montreal","YHU","45.517","-73.417","Urban","498665","6","6","1.5714285714285714","1.00000000000000000000","6","1","11","2.8333333333333333","498665","6","1","Business Traveler"
"510944","M","true","true","1968-04-21","56","Senior","2023-01-05","2023-01-01 00:00:00+00","usa","chicago","UGN","42.422","-87.868","Urban","510944","6","3","1.00000000000000000000","1.00000000000000000000","6","5","3","1.6666666666666667","510944","6","1","Business Traveler"
"513058","F","false","true","1972-05-07","52","Senior","2023-01-06","2023-01-01 00:00:00+00","usa","new york","JFK","40.64","-73.779","Urban","513058","5","3","3.6666666666666667","1.3333333333333333","5","5","14","2.6000000000000000","513058","6","1","Business Traveler"
"515694","F","false","false","1980-04-03","44","Middle-Aged","2023-01-07","2023-01-01 00:00:00+00","usa","lubbock","LBB","33.664","-101.823","Suburban","515694","6","6","1.00000000000000000000","1.00000000000000000000","6","2","6","2.3333333333333333","515694","6","1","Business Traveler"
"517061","F","true","true","1969-12-09","55","Senior","2023-01-08","2023-01-01 00:00:00+00","usa","jacksonville","NIP","30.236","-81.681","Urban","517061","4","6","3.6666666666666667","1.1666666666666667","3","4","23","2.3333333333333333","517061","6","1","Business Traveler"
"519747","M","true","false","1978-12-10","46","Middle-Aged","2023-01-09","2023-01-01 00:00:00+00","usa","columbus","LCK","39.814","-82.928","Urban","519747","6","6","2.5714285714285714","1.1428571428571429","6","1","24","2.8333333333333333","519747","6","1","Business Traveler"
"524365","F","true","false","1976-06-17","48","Middle-Aged","2023-01-11","2023-01-01 00:00:00+00","usa","phoenix","LUF","33.535","-112.383","Urban","524365","5","6","1.5000000000000000","1.00000000000000000000","5","3","9","2.4000000000000000","524365","6","1","Business Traveler"
"525201","M","false","false","1973-06-24","51","Senior","2023-01-12","2023-01-01 00:00:00+00","usa","norfolk","ORF","36.894","-76.201","Suburban","525201","3","5","3.8000000000000000","1.2000000000000000","3","3","21","3.0000000000000000","525201","6","1","Business Traveler"
"525615","F","false","false","1989-04-14","35","Young Adult","2023-01-12","2023-01-01 00:00:00+00","usa","denver","DEN","39.858","-104.667","Urban","525615","5","5","2.4000000000000000","1.2000000000000000","5","3","17","2.8000000000000000","525615","6","1","Business Traveler"
"527253","F","false","false","1982-03-17","42","Middle-Aged","2023-01-13","2023-01-01 00:00:00+00","canada","toronto","YZD","43.742","-79.466","Urban","527253","5","5","5.8000000000000000","1.2000000000000000","5","3","51","2.6000000000000000","527253","6","1","Business Traveler"
