"user_id","gender","married","birthdate","age","age_group","sign_up_date","signup_month","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","airport_data_quality","user_id","total_sessions","first_session","last_session","avg_session_duration","booking_ratio","avg_flight_discount","avg_hotel_discount","total_page_clicks","total_cancellations","user_id","total_flights","avg_flight_fare","preferred_airline","avg_seats_booked","total_checked_bags","avg_trip_duration","user_id","total_hotels","avg_hotel_spend","avg_nights_stayed","total_rooms_booked","user_id","lifetime_value","user_id","total_trips","active_years","user_id","engagement_score","avg_clicks_per_session","reward_tier"
"167852","F","false","2006-02-16","18","Teenager","2022-05-03","2022-05-01 00:00:00+00","usa","tampa","MCF","27.849","-82.521","Valid","167852","8","2023-01-05 04:16:00","2023-04-25 17:14:14","58.0000000000000000","0","0.12500000000000000000","0.25000000000000000000","63","0","","","","","","","","","","","","","167852","0","167852","0","1","167852","0.26666666666666666","7","Basic Member - Earn Points on Bookings"
"437069","F","false","1981-02-02","44","Middle-Aged","2022-11-28","2022-11-01 00:00:00+00","usa","tucson","DMA","32.166","-110.883","Valid","437069","8","2023-01-06 04:02:00","2023-06-17 16:29:52","190.6250000000000000","0.625","0.12500000000000000000","0.12500000000000000000","204","0","437069","5","359.2800000000000000","United Airlines","1.2000000000000000","3","449280.000000000000","437069","5","122.8000000000000000","3.4000000000000000","6","437069","4286.40","437069","5","1","437069","0.4657294455821112","25","Silver Member - Discounted Flights & Early Booking Access"
"488865","F","false","1988-07-07","36","Middle-Aged","2022-12-24","2022-12-01 00:00:00+00","canada","hamilton","YHM","43.173","-79.935","Valid","488865","8","2023-01-22 12:34:00","2023-06-19 09:38:14","92.2500000000000000","0.375","0.00000000000000000000","0.12500000000000000000","100","0","488865","3","191.7000000000000000","Southwest Airlines","1.00000000000000000000","3","374400.000000000000","488865","3","107.0000000000000000","3.0000000000000000","3","488865","1363.10","488865","3","1","488865","0.38284369726102147","12","Basic Member - Earn Points on Bookings"
"504473","F","false","1990-11-17","34","Young Adult","2023-01-01","2023-01-01 00:00:00+00","usa","richmond","RIC","37.505","-77.319","Valid","504473","8","2023-01-09 10:10:00","2023-06-14 11:21:51","96.5000000000000000","0.25","0.00000000000000000000","0.12500000000000000000","104","0","504473","2","266.4950000000000000","Delta Air Lines","1.00000000000000000000","2","302400.000000000000","504473","2","99.5000000000000000","2.0000000000000000","2","504473","930.99","504473","2","1","504473","0.344178058870495","13","Basic Member - Earn Points on Bookings"
"509516","F","false","1978-06-24","46","Middle-Aged","2023-01-04","2023-01-01 00:00:00+00","usa","colorado springs","COS","38.806","-104.7","Valid","509516","9","2023-01-04 10:38:00","2023-06-20 21:27:24","122.3333333333333333","0.3333333333333333","0.11111111111111111111","0.22222222222222222222","147","0","509516","2","610.2550000000000000","United Airlines","1.5000000000000000","2","259200.000000000000","509516","3","176.3333333333333333","1.3333333333333333","4","509516","2094.51","509516","3","1","509516","0.40565004574145846","16","Silver Member - Discounted Flights & Early Booking Access"
"512848","F","false","1988-06-04","36","Middle-Aged","2023-01-06","2023-01-01 00:00:00+00","usa","houston","EFD","29.607","-95.159","Valid","512848","8","2023-01-06 17:34:00","2023-06-01 12:59:21","120.2500000000000000","0.375","0.12500000000000000000","0.12500000000000000000","128","0","512848","2","261.0900000000000000","Delta Air Lines","1.00000000000000000000","0","216000.000000000000","512848","3","107.0000000000000000","2.0000000000000000","3","512848","1134.18","512848","3","1","512848","0.38222617408322107","16","Basic Member - Earn Points on Bookings"
"513058","F","false","1972-05-07","52","Senior","2023-01-06","2023-01-01 00:00:00+00","usa","new york","JFK","40.64","-73.779","Valid","513058","8","2023-01-06 18:34:00","2023-07-13 20:26:41","214.0000000000000000","0.75","0.00000000000000000000","0.25000000000000000000","231","0","513058","5","385.2620000000000000","Southwest Airlines","1.2000000000000000","2","224640.000000000000","513058","3","118.0000000000000000","3.6666666666666667","4","513058","3713.31","513058","6","1","513058","0.5016835065730005","28","Silver Member - Discounted Flights & Early Booking Access"
"514053","F","true","1981-04-15","43","Middle-Aged","2023-01-06","2023-01-01 00:00:00+00","canada","victoria","YYJ","48.647","-123.426","Valid","514053","8","2023-01-06 20:21:00","2023-06-06 19:08:28","57.3750000000000000","0.25","0.25000000000000000000","0.25000000000000000000","62","0","514053","1","339.6600000000000000","Delta Air Lines","1.00000000000000000000","0","259200.000000000000","514053","2","168.0000000000000000","8.5000000000000000","2","514053","3104.66","514053","2","1","514053","0.35004164268095","7","Silver Member - Discounted Flights & Early Booking Access"
"516301","F","false","1996-12-01","28","Young Adult","2023-01-07","2023-01-01 00:00:00+00","usa","los angeles","LAX","33.942","-118.408","Valid","516301","8","2023-01-07 11:05:00","2023-06-02 19:55:52.768815","908.7211018750000000","0.75","0.25000000000000000000","0.12500000000000000000","229","1","516301","6","1769.6000000000000000","Wizz Air","1.6666666666666667","5","705600.000000000000","516301","4","108.0000000000000000","1.7500000000000000","6","516301","11636.60","516301","5","1","516301","0.523056978613163","28","Platinum Member - Free Lounge Access & Priority Boarding"
"521187","F","true","1949-08-03","75","Senior","2023-01-10","2023-01-01 00:00:00+00","usa","orlando","ORL","28.545","-81.333","Valid","521187","9","2023-01-10 13:38:00","2023-06-22 22:40:36","108.4444444444444444","0","0.11111111111111111111","0.00000000000000000000","130","0","","","","","","","","","","","","","521187","0","521187","0","1","521187","0.3","14","Basic Member - Earn Points on Bookings"
"527158","F","true","1973-04-15","51","Senior","2023-01-13","2023-01-01 00:00:00+00","canada","victoria","YYJ","48.647","-123.426","Valid","527158","8","2023-01-13 08:55:00","2023-06-25 06:10:32.484831","480.0606038750000000","0.5","0.25000000000000000000","0.12500000000000000000","174","1","527158","4","1843.5525000000000000","Delta Air Lines","2.0000000000000000","4","561600.000000000000","527158","4","233.7500000000000000","5.2500000000000000","6","527158","13471.21","527158","3","1","527158","0.4530059310735176","21","Platinum Member - Free Lounge Access & Priority Boarding"
"527321","F","false","2006-09-21","18","Teenager","2023-01-13","2023-01-01 00:00:00+00","canada","halifax","YHZ","44.881","-63.509","Valid","527321","8","2023-01-13 19:33:00","2023-07-04 20:12:00","85.5000000000000000","0.125","0.25000000000000000000","0.25000000000000000000","92","0","","","","","","","","527321","1","68.0000000000000000","5.0000000000000000","1","527321","340","527321","1","1","527321","0.3050838337138977","11","Basic Member - Earn Points on Bookings"
"529704","F","true","1956-10-19","68","Senior","2023-01-14","2023-01-01 00:00:00+00","usa","dallas","DAL","32.847","-96.852","Valid","529704","9","2023-01-14 16:45:00","2023-05-15 22:49:27","901.7777777777777778","0.3333333333333333","0.11111111111111111111","0.33333333333333333333","323","1","529704","2","2036.2800000000000000","All Nippon Airways","1.00000000000000000000","0","1296000.000000000000","529704","1","255.0000000000000000","6.0000000000000000","1","529704","5602.56","529704","2","1","529704","0.4151131865062787","35","Gold Member - Free Checked Bags & Hotel Discounts"
